12,0,773.00,160.00,23.13,59.49,1.000000,-1,-1,-1
13,1,808.00,163.00,20.00,59.45,1.000000,-1,-1,-1
13,0,779.00,160.00,25.33,61.89,1.000000,-1,-1,-1
14,1,817.00,163.00,21.52,61.98,1.000000,-1,-1,-1
14,0,786.00,161.00,27.33,64.49,1.000000,-1,-1,-1
15,2,172.00,168.00,22.33,60.65,1.000000,-1,-1,-1
15,1,826.00,165.00,22.00,64.74,1.000000,-1,-1,-1
15,0,793.00,162.00,28.00,67.32,1.000000,-1,-1,-1
16,2,156.00,170.00,23.22,62.42,1.000000,-1,-1,-1
16,1,836.00,166.00,25.48,67.76,1.000000,-1,-1,-1
16,0,801.00,164.00,31.67,70.44,1.000000,-1,-1,-1
17,2,141.00,171.00,23.50,64.63,1.000000,-1,-1,-1
17,1,848.00,168.00,27.67,71.04,1.000000,-1,-1,-1
17,0,809.00,165.00,33.67,73.86,1.000000,-1,-1,-1
18,2,124.00,167.00,25.64,66.94,1.000000,-1,-1,-1
18,1,863.00,169.00,27.58,74.66,1.000000,-1,-1,-1
18,0,824.00,165.00,33.29,77.62,1.000000,-1,-1,-1
19,2,103.00,166.00,27.00,67.93,1.000000,-1,-1,-1
19,1,878.00,167.00,25.67,78.66,1.000000,-1,-1,-1
19,0,839.00,164.00,30.67,81.79,1.000000,-1,-1,-1
20,2,84.00,164.00,27.86,70.55,1.000000,-1,-1,-1
20,1,897.00,164.00,28.44,83.10,1.000000,-1,-1,-1
20,0,851.00,161.00,35.81,86.43,1.000000,-1,-1,-1
21,2,62.00,162.00,27.67,73.39,1.000000,-1,-1,-1
21,1,917.00,160.00,29.33,88.07,1.000000,-1,-1,-1
21,0,864.00,157.00,38.67,91.63,1.000000,-1,-1,-1
22,2,37.00,159.00,30.66,76.47,1.000000,-1,-1,-1
22,1,937.00,156.00,34.39,93.68,1.000000,-1,-1,-1
22,0,882.00,153.00,40.66,97.49,1.000000,-1,-1,-1
23,2,8.00,164.00,32.50,77.62,1.000000,-1,-1,-1
23,1,959.00,158.00,37.00,100.32,1.000000,-1,-1,-1
23,0,903.00,153.00,39.33,104.17,1.000000,-1,-1,-1
24,1,980.00,161.00,39.58,107.98,1.000000,-1,-1,-1
24,0,917.00,156.00,50.08,111.84,1.000000,-1,-1,-1
25,1,1003.00,163.00,38.33,116.89,1.000000,-1,-1,-1
25,0,935.00,157.00,57.00,120.80,1.000000,-1,-1,-1
26,1,1039.00,161.00,46.20,127.39,1.000000,-1,-1,-1
26,0,962.00,158.00,69.30,131.34,1.000000,-1,-1,-1
27,1,1080.00,157.00,49.33,139.97,1.000000,-1,-1,-1
27,0,990.00,153.00,74.67,143.20,1.000000,-1,-1,-1
28,1,1115.00,151.00,89.58,155.66,1.000000,-1,-1,-1
28,0,1039.00,147.00,82.62,159.01,1.000000,-1,-1,-1
29,1,1174.00,145.00,67.03,174.96,1.000000,-1,-1,-1
29,0,1092.00,137.00,78.67,178.63,1.000000,-1,-1,-1
30,0,1132.00,140.00,109.38,203.57,1.000000,-1,-1,-1
31,0,1206.00,146.00,35.28,215.86,1.000000,-1,-1,-1
38,3,362.00,176.00,20.96,60.15,1.000000,-1,-1,-1
39,3,352.00,178.00,21.33,62.58,1.000000,-1,-1,-1
40,4,252.00,169.00,23.41,59.23,1.000000,-1,-1,-1
40,3,340.00,177.00,23.90,65.24,1.000000,-1,-1,-1
41,4,233.00,167.00,29.00,61.52,1.000000,-1,-1,-1
41,3,328.00,176.00,25.33,68.13,1.000000,-1,-1,-1
42,4,216.00,168.00,29.25,63.93,1.000000,-1,-1,-1
42,3,313.00,176.00,28.24,71.30,1.000000,-1,-1,-1
43,4,198.00,168.00,28.00,66.52,1.000000,-1,-1,-1
43,3,297.00,177.00,29.67,74.77,1.000000,-1,-1,-1
44,4,179.00,169.00,28.63,69.34,1.000000,-1,-1,-1
44,3,282.00,179.00,31.13,78.58,1.000000,-1,-1,-1
45,4,158.00,169.00,27.67,72.40,1.000000,-1,-1,-1
45,3,265.00,179.00,30.67,82.79,1.000000,-1,-1,-1
46,4,131.00,170.00,37.39,75.75,1.000000,-1,-1,-1
46,3,246.00,180.00,33.46,87.48,1.000000,-1,-1,-1
47,5,427.00,166.00,16.00,59.56,1.000000,-1,-1,-1
47,4,101.00,170.00,45.33,79.38,1.000000,-1,-1,-1
47,3,223.00,180.00,34.00,92.78,1.000000,-1,-1,-1
48,5,417.00,166.00,19.30,61.51,1.000000,-1,-1,-1
48,4,71.00,170.00,46.15,83.38,1.000000,-1,-1,-1
48,3,199.00,180.00,36.95,98.79,1.000000,-1,-1,-1
49,5,406.00,166.00,22.00,63.60,1.000000,-1,-1,-1
49,4,39.00,169.00,43.67,87.87,1.000000,-1,-1,-1
49,3,170.00,179.00,37.00,105.62,1.000000,-1,-1,-1
50,5,400.00,165.00,21.29,65.83,1.000000,-1,-1,-1
50,4,1.00,167.00,61.11,92.87,1.000000,-1,-1,-1
50,3,135.00,180.00,44.28,113.11,1.000000,-1,-1,-1
51,5,394.00,165.00,19.67,68.22,1.000000,-1,-1,-1
51,3,95.00,181.00,48.00,121.79,1.000000,-1,-1,-1
52,5,383.00,166.00,22.60,70.80,1.000000,-1,-1,-1
52,3,55.00,181.00,52.43,131.92,1.000000,-1,-1,-1
53,5,371.00,165.00,24.67,73.56,1.000000,-1,-1,-1
53,3,10.00,182.00,51.33,143.83,1.000000,-1,-1,-1
54,5,362.00,165.00,25.06,76.55,1.000000,-1,-1,-1
55,5,351.00,165.00,24.33,79.79,1.000000,-1,-1,-1
56,5,337.00,165.00,26.78,83.31,1.000000,-1,-1,-1
57,5,322.00,165.00,28.00,87.17,1.000000,-1,-1,-1
58,5,307.00,165.00,31.16,91.37,1.000000,-1,-1,-1
59,5,288.00,164.00,32.67,96.22,1.000000,-1,-1,-1
60,6,727.00,164.00,20.99,59.08,1.000000,-1,-1,-1
60,5,268.00,164.00,37.31,101.61,1.000000,-1,-1,-1
61,6,732.00,164.00,16.67,60.96,1.000000,-1,-1,-1
61,5,244.00,163.00,39.67,107.65,1.000000,-1,-1,-1
62,6,737.00,163.00,15.63,62.98,1.000000,-1,-1,-1
62,5,219.00,162.00,43.25,114.44,1.000000,-1,-1,-1
63,6,742.00,163.00,14.00,65.12,1.000000,-1,-1,-1
63,5,190.00,161.00,43.67,121.79,1.000000,-1,-1,-1
64,6,740.00,162.00,17.10,67.42,1.000000,-1,-1,-1
64,5,160.00,160.00,49.29,130.16,1.000000,-1,-1,-1
65,6,737.00,162.00,19.67,69.89,1.000000,-1,-1,-1
65,5,125.00,157.00,51.00,139.74,1.000000,-1,-1,-1
66,7,889.00,164.00,37.34,77.60,1.000000,-1,-1,-1
66,6,740.00,160.00,20.57,72.53,1.000000,-1,-1,-1
66,5,85.00,153.00,62.00,150.84,1.000000,-1,-1,-1
67,7,908.00,163.00,26.33,81.05,1.000000,-1,-1,-1
67,6,742.00,158.00,20.67,75.38,1.000000,-1,-1,-1
67,5,35.00,149.00,67.67,163.87,1.000000,-1,-1,-1
68,6,744.00,156.00,21.46,78.47,1.000000,-1,-1,-1
68,5,0.00,149.00,68.33,178.30,1.000000,-1,-1,-1
68,7,919.00,161.00,29.17,84.76,1.000000,-1,-1,-1
68,8,318.00,165.00,33.20,67.49,1.000000,-1,-1,-1
69,9,1108.00,150.00,50.67,131.66,1.000000,-1,-1,-1
69,6,748.00,157.00,21.33,81.91,1.000000,-1,-1,-1
69,7,931.00,163.00,30.67,88.98,1.000000,-1,-1,-1
69,8,314.00,167.00,25.00,69.56,1.000000,-1,-1,-1
70,9,1140.00,150.00,56.81,141.20,1.000000,-1,-1,-1
70,6,751.00,159.00,24.87,85.59,1.000000,-1,-1,-1
70,8,300.00,168.00,29.12,71.77,1.000000,-1,-1,-1
70,10,372.00,167.00,30.77,70.90,1.000000,-1,-1,-1
70,7,942.00,164.00,33.91,93.64,1.000000,-1,-1,-1
70,11,916.00,165.00,28.49,83.01,1.000000,-1,-1,-1
71,9,1173.00,152.00,58.33,151.59,1.000000,-1,-1,-1
71,6,753.00,161.00,27.33,89.62,1.000000,-1,-1,-1
71,8,285.00,170.00,32.00,74.12,1.000000,-1,-1,-1
71,10,365.00,168.00,24.00,73.79,1.000000,-1,-1,-1
71,7,954.00,163.00,35.33,98.58,1.000000,-1,-1,-1
71,11,930.00,166.00,29.00,87.09,1.000000,-1,-1,-1
